product_name,units_sold,product_revenue
Leatherette Journal,2815,26700.105427
Google Men's  Zip Hoodie,503,26470.502836
Google Sunglasses,7669,24696.722225
Google Hard Cover Journal,1662,23383.548647
Google 22 oz Water Bottle,8190,23221.508475
26 oz Double Wall Insulated Bottle,839,17993.927373
Recycled Paper Journal Set,4879,17548.887346
BLM Sweatshirt,467,17343.06332
Google 17oz Stainless Steel Sport Bottle,1040,17149.02408
Sport Bag,3492,16516.127139
Google Metallic Notebook Set,2749,14695.915088
Google Men's 100% Cotton Short Sleeve Hero Tee Black,873,14549.968589
Google Men's 100% Cotton Short Sleeve Hero Tee White,883,14039.585998
Google Spiral Journal with Pen,1700,13679.980801
YouTube Hard Cover Journal,997,13620.836259
Google Baby Essentials Set,457,12848.336025
Red Spiral Google Notebook,1295,11627.385035
Google 5-Panel Cap,548,10380.066983
Google Rucksack,158,10207.68342
YouTube Twill Cap,1004,10192.207448
Spiral Notebook and Pen Set,2130,10132.287093
Collapsible Shopping Bag,2220,10113.732271
Google Twill Cap,916,9867.246625
Google Bluetooth Headphones,194,9351.080342
Google Water Resistant Bluetooth Speaker,304,9290.649895
20 oz Stainless Steel Insulated Tumbler,380,9209.923749
Waterproof Backpack,101,9116.679246
Maze Pen,9683,8952.738076
Google Men's Heavyweight Long Sleeve Hero Tee Navy,217,8680.83
YouTube Leatherette Notebook Combo,1415,8655.847658
Google Women's Fleece Hoodie,160,7842.715137
Google Laptop Backpack,80,7384.868798
Google 25 oz Red Stainless Steel Bottle,594,7345.50553
Google Men's Watershed Full Zip Hoodie Grey,114,7338.328687
Red Shine 15 oz Mug,594,7241.963409
Google Canvas Tote Natural/Navy,512,7066.060221
Google Men's Bike Short Sleeve Tee Charcoal,368,7041.567633
Google 17 oz Double Wall Stainless Steel Insulated Bottle,365,6995.418101
Google Laptop and Cell Phone Stickers,2749,6971.315558
YouTube Men's Fleece Hoodie Black,148,6750.586027
Google Men's Vintage Badge Tee Black,484,6121.603019
Google Kick Ball,3159,6045.445059
Google Men's 100% Cotton Short Sleeve Hero Tee Red,359,5972.062001
Android Twill Cap,595,5838.305046
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,352,5715.265608
Android Baby Esssentials Set,238,5658.0
Ballpoint LED Light Pen,2362,5597.617028
Google Alpine Style Backpack,61,5447.852586
Windup Android,1394,5313.803204
Google Tube Power Bank,343,5270.217352
Google Leather Journal-Black,287,5163.628783
Pen Pencil & Highlighter Set,1362,5157.000362
Google Leather Journal-Brown,242,4941.025179
Google Stylus Pen w/ LED Light,930,4674.428004
Google Tri-blend Hoodie Grey,128,4655.680893
Google Men's Performance Full Zip Jacket Black,63,4497.304134
Google Women's Performance Polo Grey/Black,71,4474.165
Google Blackout Cap,297,4417.678115
Foam Can and Bottle Cooler,2487,4396.922049
Compact Bluetooth Speaker,91,4388.469166
Badge Holder,2135,4362.043446
24 oz YouTube Sergeant Stripe Bottle,621,4358.393458
Google Men's Quilted Insulated Vest Black,69,4280.261084
Galaxy Screen Cleaning Cloth,2216,4271.996189
Engraved Ceramic Google Mug,487,4232.490663
Recycled Mouse Pad,2784,4196.42581
Four Color Retractable Pen,1494,4179.484092
Google Men's Quilted Insulated Vest Battleship Grey,89,4137.221763
Google Men's Pullover Hoodie Grey,90,4079.322254
Electronics Accessory Pouch,815,4013.635661
Women's Performance Full Zip Jacket Black,50,3916.209734
Google Men's Lightweight Microfleece Jacket Black,59,3901.191184
25L Classic Rucksack,42,3864.582878
Google Lunch Bag,290,3797.744438
Google Men's Long Sleeve Raglan Ocean Blue,184,3737.645238
YouTube Custom Decals,1806,3724.643488
Rubber Grip Ballpoint Pen 4 Pack,821,3560.774673
Ballpoint Stick Pen 4 Pack,935,3553.073985
SPF-15 Slim & Slender Lip Balm,1745,3467.202365
1 oz Hand Sanitizer,1765,3430.037967
Google Women's Short Sleeve Hero Tee White,214,3418.651471
Reusable Shopping Bag,1055,3411.694742
Google G Noise-reducing Bluetooth Headphones,25,3389.1
Google Device Stand,687,3378.480272
Men's Weatherblock Shell Jacket Black,57,3366.04216
Ballpoint Pen Blue,3539,3310.69382
Google Infant Zip Hood Pink,111,3256.983693
Men's Softshell Jacket Black/Grey,37,3244.706188
YouTube Men's Short Sleeve Hero Tee Charcoal,182,3241.160756
Google Men's Short Sleeve Hero Tee Charcoal,199,3226.270292
Android 24 oz Contigo Bottle,207,3205.312217
Google 25 oz Blue Stainless Steel Bottle,258,3186.738389
Google Infuser-Top Water Bottle,322,3163.297778
YouTube Women's Fleece Hoodie Black,77,3023.191002
Google 25 oz Clear Stainless Steel Bottle,258,3010.999753
Google Luggage Tag,409,2887.106829
Google RFID Journal,255,2887.034218
23 oz Wide Mouth Sport Bottle,303,2877.357723
Google Men's Short Sleeve Badge Tee Charcoal,170,2866.263108
Android Rise 14 oz Mug,228,2810.286797
Google Women's Yoga Jacket Black,46,2752.64076
Google Men's Short Sleeve Performance Badge Tee Black,154,2746.438601
YouTube Spiral Journal with Pen,386,2663.557457
22 oz YouTube Bottle Infuser,617,2631.724618
Leather and Metal Ballpoint Pen,210,2601.668805
Google Women's Short Sleeve Hero Tee Black,165,2584.00681
Google Infant Zip Hood Royal Blue,81,2490.478886
Ballpoint Pen & Matching Tube Case,634,2440.612001
Google Tote Bag,268,2420.419561
Clip-on Compact Charger,155,2378.497271
Google Women's Lightweight Microfleece Jacket,40,2371.930642
"Google High Capacity 10,400mAh Charger",43,2367.569406
Google Spiral Leather Journal,188,2351.122855
Google Ballpoint Pen Black,1197,2317.014108
